

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
227.795  000.088  000.088: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-coffee-script/ftdetect/coffee.vim
227.931  000.036  000.036: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
228.237  000.018  000.018: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-fugitive/ftdetect/fugitive.vim
228.548  000.020  000.020: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-javascript/ftdetect/flow.vim
228.706  000.065  000.065: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-javascript/ftdetect/javascript.vim
228.948  000.022  000.022: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-less/ftdetect/less.vim
229.224  000.081  000.081: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-markdown/ftdetect/markdown.vim
229.475  000.032  000.032: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-pug/ftdetect/pug.vim
229.987  000.209  000.209: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-ruby/ftdetect/ruby.vim
230.374  000.289  000.289: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-ruby/ftdetect/ruby_extra.vim
231.176  015.814  014.704: sourcing /usr/local/share/vim/vim82/filetype.vim
232.002  186.386  128.221: sourcing /Users/harvey/.vim_runtime/vimrcs/plugins_config.vim
233.081  000.930  000.930: sourcing /Users/harvey/.vim_runtime/vimrcs/extended.vim
239.154  004.859  004.859: sourcing /Users/harvey/.vim_runtime/autoload/plug.vim
250.128  003.571  003.571: sourcing /usr/local/share/vim/vim82/ftoff.vim
266.176  000.054  000.054: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nginx.vim/ftdetect/nginx.vim
266.513  000.053  000.053: sourcing /Users/harvey/.vim_runtime/sources_non_forked/rust.vim/ftdetect/rust.vim
266.701  000.022  000.022: sourcing /Users/harvey/.vim_runtime/sources_non_forked/typescript-vim/ftdetect/typescript.vim
266.893  000.039  000.039: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-bundle-mako/ftdetect/mako.vim
267.090  000.053  000.053: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-coffee-script/ftdetect/coffee.vim
267.218  000.023  000.023: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
267.416  000.014  000.014: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-fugitive/ftdetect/fugitive.vim
267.613  000.014  000.014: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-javascript/ftdetect/flow.vim
267.709  000.036  000.036: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-javascript/ftdetect/javascript.vim
267.856  000.014  000.014: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-less/ftdetect/less.vim
268.021  000.048  000.048: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-markdown/ftdetect/markdown.vim
268.177  000.021  000.021: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-pug/ftdetect/pug.vim
268.466  000.110  000.110: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-ruby/ftdetect/ruby.vim
268.679  000.152  000.152: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-ruby/ftdetect/ruby_extra.vim
269.123  013.217  012.564: sourcing /usr/local/share/vim/vim82/filetype.vim
270.044  000.016  000.016: sourcing /usr/local/share/vim/vim82/ftplugin.vim
270.934  000.015  000.015: sourcing /usr/local/share/vim/vim82/indent.vim
271.093  037.879  016.201: sourcing /Users/harvey/.vim_runtime/my_configs.vim
272.875  000.342  000.342: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
274.567  000.243  000.243: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
276.480  000.208  000.208: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
